gps_seconds[s],file_name,latitude[deg],longitude[deg],altitude_ellipsoidal[m],roll[deg],pitch[deg],heading[deg],projectedX[m],projectedY[m],projectedZ[m]
1314965269.19628,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000544_Lane1.jpg,52.2173425,0.9456949,95.169,1.48835,-40.10382,67.73309,601321.443,261768.182,49.937
1314965269.33135,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000545_Lane1.jpg,52.2173342,0.9456531,95.23,1.33814,-40.1099,67.68278,601318.624,261767.144,49.998
1314965269.46640,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000546_Lane1.jpg,52.2173258,0.9456112,95.291,1.23421,-40.13115,67.5949,601315.805,261766.096,50.059
1314965269.60140,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000547_Lane1.jpg,52.2173173,0.9455694,95.354,1.13584,-40.18791,67.52219,601312.984,261765.039,50.122
1314965269.73643,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000548_Lane1.jpg,52.2173088,0.9455274,95.42,0.95748,-40.11147,67.50869,601310.16,261763.973,50.188
1314965269.87145,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000549_Lane1.jpg,52.2173002,0.9454855,95.483,0.80635,-40.02929,67.47612,601307.334,261762.901,50.25
1314965270.00672,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000550_Lane1.jpg,52.2172915,0.9454435,95.54,0.67862,-40.04089,67.43591,601304.502,261761.819,50.308
1314965270.14153,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000551_Lane1.jpg,52.2172828,0.9454015,95.6,0.70663,-40.11348,67.30031,601301.679,261760.731,50.368
1314965270.27656,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000552_Lane1.jpg,52.2172739,0.9453595,95.663,0.77701,-40.24854,67.17207,601298.849,261759.632,50.431
1314965270.41160,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000553_Lane1.jpg,52.2172651,0.9453175,95.732,0.47671,-40.20877,67.28172,601296.016,261758.532,50.5
1314965270.54662,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000554_Lane1.jpg,52.2172562,0.9452753,95.803,0.03568,-40.3556,67.3958,601293.173,261757.431,50.57
1314965270.68172,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000555_Lane1.jpg,52.2172473,0.9452329,95.871,-0.23435,-39.33573,67.47676,601290.32,261756.315,50.638
1314965270.81667,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000556_Lane1.jpg,52.2172382,0.9451909,95.893,-0.01684,-40.30076,67.26783,601287.49,261755.194,50.66
1314965270.95194,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000557_Lane1.jpg,52.2172291,0.9451485,95.964,-0.15591,-40.19941,67.22434,601284.639,261754.064,50.732
1314965271.08677,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000558_Lane1.jpg,52.21722,0.9451063,96.042,-0.4327,-40.08171,67.26855,601281.796,261752.933,50.81
1314965271.22178,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000559_Lane1.jpg,52.2172108,0.945064,96.107,-0.66351,-39.74478,67.27349,601278.952,261751.795,50.875
1314965271.35691,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000560_Lane1.jpg,52.2172016,0.9450219,96.153,-0.75713,-39.87697,67.21599,601276.115,261750.65,50.92
1314965271.49183,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000561_Lane1.jpg,52.2171923,0.9449798,96.202,-0.94547,-40.18126,67.23594,601273.284,261749.502,50.97
1314965271.62689,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000562_Lane1.jpg,52.217183,0.9449377,96.271,-1.36605,-39.81029,67.33425,601270.446,261748.352,51.039
1314965271.76188,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000563_Lane1.jpg,52.2171737,0.9448958,96.324,-1.30145,-40.8635,67.15246,601267.63,261747.196,51.091
1314965271.89691,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000564_Lane1.jpg,52.2171641,0.9448537,96.433,-1.08988,-39.60839,67.02593,601264.798,261746.015,51.2
1314965272.03215,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000565_Lane1.jpg,52.2171546,0.9448116,96.486,-1.18252,-40.06975,67.01565,601261.967,261744.841,51.254
1314965272.16699,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000566_Lane1.jpg,52.217145,0.9447696,96.535,-1.16338,-39.18425,66.94535,601259.138,261743.661,51.302
1314965272.30206,A14EBWBJ47AWoolpittoHaugleyBridge_sideview_000008_000567_Lane1.jpg,52.2171355,0.9447277,96.545,-1.07396,-40.12263,66.87527,601256.322,261742.483,51.312
